Class,precision,recall,f1-score,support
0,0.6666666666666666,0.5,0.5714285714285715,4.0
1,0.8,1.0,0.888888888888889,4.0
2,0.5,0.25,0.3333333333333333,4.0
3,0.6666666666666666,0.5,0.5714285714285715,4.0
4,1.0,1.0,1.0,4.0
5,1.0,1.0,1.0,4.0
6,0.75,0.75,0.75,4.0
7,0.3333333333333333,0.25,0.28571428571428575,4.0
8,0.6666666666666666,0.5,0.5714285714285715,4.0
9,0.6666666666666666,1.0,0.8,4.0
10,0.5,0.5,0.5,4.0
11,0.75,0.75,0.75,4.0
12,0.8,1.0,0.888888888888889,4.0
13,0.5714285714285714,1.0,0.7272727272727273,4.0
14,1.0,0.75,0.8571428571428571,4.0
15,1.0,1.0,1.0,4.0
16,0.25,0.5,0.3333333333333333,4.0
17,0.6,0.75,0.6666666666666665,4.0
18,1.0,1.0,1.0,4.0
19,1.0,1.0,1.0,4.0
20,0.75,0.75,0.75,4.0
21,1.0,0.75,0.8571428571428571,4.0
22,0.6666666666666666,0.5,0.5714285714285715,4.0
23,1.0,0.75,0.8571428571428571,4.0
24,0.5,1.0,0.6666666666666666,4.0
25,0.75,0.75,0.75,4.0
26,0.0,0.0,0.0,4.0
27,0.8,1.0,0.888888888888889,4.0
28,0.6666666666666666,0.5,0.5714285714285715,4.0
29,0.5714285714285714,1.0,0.7272727272727273,4.0
30,0.8,1.0,0.888888888888889,4.0
31,0.8,1.0,0.888888888888889,4.0
32,0.5,0.25,0.3333333333333333,4.0
33,1.0,0.75,0.8571428571428571,4.0
34,1.0,0.5,0.6666666666666666,4.0
35,0.8,1.0,0.888888888888889,4.0
36,0.0,0.0,0.0,4.0
37,0.8,1.0,0.888888888888889,4.0
38,0.5,0.25,0.3333333333333333,4.0
39,0.5714285714285714,1.0,0.7272727272727273,4.0
40,0.5,0.25,0.3333333333333333,4.0
41,0.8,1.0,0.888888888888889,4.0
42,0.8,1.0,0.888888888888889,4.0
43,0.4,0.5,0.4444444444444445,4.0
44,0.5714285714285714,1.0,0.7272727272727273,4.0
45,0.8,1.0,0.888888888888889,4.0
46,0.5,0.25,0.3333333333333333,4.0
47,1.0,0.75,0.8571428571428571,4.0
48,1.0,0.25,0.4,4.0
49,0.5,0.5,0.5,4.0
50,1.0,0.75,0.8571428571428571,4.0
51,1.0,0.75,0.8571428571428571,4.0
52,0.75,0.75,0.75,4.0
53,1.0,0.25,0.4,4.0
54,0.6666666666666666,0.5,0.5714285714285715,4.0
55,1.0,0.5,0.6666666666666666,4.0
56,0.5,0.75,0.6,4.0
57,1.0,0.75,0.8571428571428571,4.0
58,0.75,0.75,0.75,4.0
59,1.0,1.0,1.0,4.0
60,0.75,0.75,0.75,4.0
61,1.0,0.75,0.8571428571428571,4.0
62,0.75,0.75,0.75,4.0
63,0.4,0.5,0.4444444444444445,4.0
64,1.0,1.0,1.0,4.0
65,1.0,0.75,0.8571428571428571,4.0
66,1.0,0.25,0.4,4.0
67,1.0,0.75,0.8571428571428571,4.0
68,0.5,0.5,0.5,4.0
69,1.0,0.5,0.6666666666666666,4.0
70,1.0,0.5,0.6666666666666666,4.0
71,1.0,0.5,0.6666666666666666,4.0
72,1.0,0.75,0.8571428571428571,4.0
73,1.0,0.5,0.6666666666666666,4.0
74,1.0,0.25,0.4,4.0
75,1.0,1.0,1.0,4.0
76,1.0,1.0,1.0,4.0
77,0.8,1.0,0.888888888888889,4.0
78,1.0,1.0,1.0,4.0
79,0.8,1.0,0.888888888888889,4.0
80,1.0,0.5,0.6666666666666666,4.0
81,1.0,0.75,0.8571428571428571,4.0
82,1.0,1.0,1.0,4.0
83,0.5,0.75,0.6,4.0
84,0.6666666666666666,0.5,0.5714285714285715,4.0
85,0.6,0.75,0.6666666666666665,4.0
86,0.8,1.0,0.888888888888889,4.0
87,0.36363636363636365,1.0,0.5333333333333333,4.0
88,1.0,0.75,0.8571428571428571,4.0
89,0.6666666666666666,0.5,0.5714285714285715,4.0
90,0.75,0.75,0.75,4.0
91,1.0,1.0,1.0,4.0
92,0.4,0.5,0.4444444444444445,4.0
93,0.2857142857142857,1.0,0.4444444444444445,2.0
94,0.5,0.75,0.6,4.0
95,0.8,1.0,0.888888888888889,4.0
96,0.8,1.0,0.888888888888889,4.0
97,1.0,1.0,1.0,4.0
98,0.75,0.75,0.75,4.0
99,0.8,1.0,0.888888888888889,4.0
100,0.6666666666666666,1.0,0.8,4.0
101,1.0,0.75,0.8571428571428571,4.0
102,0.6666666666666666,0.5,0.5714285714285715,4.0
103,0.3333333333333333,0.5,0.4,4.0
104,1.0,0.75,0.8571428571428571,4.0
105,0.75,0.75,0.75,4.0
106,0.8,1.0,0.888888888888889,4.0
107,0.6666666666666666,0.5,0.5714285714285715,4.0
108,1.0,0.5,0.6666666666666666,4.0
109,0.6666666666666666,1.0,0.8,4.0
110,0.8,1.0,0.888888888888889,4.0
111,0.6666666666666666,1.0,0.8,4.0
112,1.0,0.75,0.8571428571428571,4.0
113,1.0,0.5,0.6666666666666666,4.0
114,0.5,0.25,0.3333333333333333,4.0
115,0.5,0.5,0.5,4.0
116,0.75,0.75,0.75,4.0
117,1.0,0.75,0.8571428571428571,4.0
118,1.0,0.75,0.8571428571428571,4.0
119,0.5714285714285714,1.0,0.7272727272727273,4.0
120,0.75,0.75,0.75,4.0
121,0.3333333333333333,0.5,0.4,4.0
122,0.6666666666666666,1.0,0.8,4.0
123,1.0,0.25,0.4,4.0
124,1.0,0.5,0.6666666666666666,4.0
125,0.5714285714285714,1.0,0.7272727272727273,4.0
126,0.75,0.75,0.75,4.0
